tracking_number,carrier,status,error_message,service,service_code,weight_kg,weight_lbs,is_dimensional_weight,origin_city,origin_state,origin_country,destination_city,destination_state,destination_country,distance_km,distance_miles,transport_mode,emission_factor,total_emissions_kg_co2e,main_transit_emissions_kg,last_mile_emissions_kg,trees_needed_1_year,equivalent_miles_driven
TBA324105324922,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,3.17,6.989,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0198,0.0134,0.0063,0,0
9488809000276106897202,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324101036388,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,0.58,1.279,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0066,0.0054,0.0012,0,0
9361289725253369172938,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324111838240,Amazon,success,,Amazon Same-Day Delivery,AMAZON_SAME_DAY,4.13,9.105,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,last_mile,0.2,0.0605,0.0605,0,0,0.1
9361289725253385108638,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324120468666,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,13.6,29.983,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0849,0.0577,0.0272,0,0.2
9488809000276106897141,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
9361289725253521015325,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324041907743,Amazon,success,,Amazon Fresh Delivery,AMAZON_FRESH,5.38,11.86,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,last_mile,0.2,0.0359,0.0359,0,0,0.1
1ZF103Y8YT65876181,UPS,success,,UPS Ground Saver®,613,0.816,1.8,FALSE,GROVEPORT,OH,US,WORCESTER,MA,US,968.69,601.92,truck_average,0.127,0.1021,0.1004,0.0016,0,0.3
TBA324000266857,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,3.26,7.187,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0368,0.0303,0.0065,0,0.1
TBA324115503186,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.541,3.398,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0096,0.0065,0.0031,0,0
TBA324105725336,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,4.06,8.951,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0253,0.0172,0.0081,0,0.1
TBA324113490412,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,3.4,7.496,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0212,0.0144,0.0068,0,0.1
TBA324081107789,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,4.77,10.516,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0298,0.0202,0.0095,0,0.1
9261290376166425421022,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324118536647,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,4.51,9.943,FALSE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.0561,0.0471,0.009,0,0.1
TBA324117360447,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,49.908,110.029,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.3115,0.2116,0.0998,0.01,0.8
TBA324065981419,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,1.899,4.186,TRUE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.0236,0.0198,0.0038,0,0.1
TBA324116225627,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.66,3.66,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0104,0.007,0.0033,0,0
TBA324055084528,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,5.29,11.662,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0598,0.0492,0.0106,0,0.1
TBA324045214858,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.041,2.294,TRUE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.0129,0.0109,0.0021,0,0
TBA324054093769,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,2.18,4.806,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0136,0.0092,0.0044,0,0
TBA324059706361,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,15.2,33.51,FALSE,Avenel,NJ,US,Worcester,MA,US,278.74,173.2,truck_average,0.127,0.5685,0.5381,0.0304,0.03,1.4
9500112105565234082755,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
2662115901,dhl,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324100823227,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,0.29,0.639,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0018,0.0012,0.0006,0,0
TBA324107023230,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,0.4,0.882,FALSE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.005,0.0042,0.0008,0,0
TBA324113868359,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,0.86,1.896,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0097,0.008,0.0017,0,0
TBA324069739903,Amazon,success,,Amazon Fresh Delivery,AMAZON_FRESH,2.1,4.63,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,last_mile,0.2,0.0307,0.0307,0,0,0.1
TBA324091556826,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,4.959,10.932,TRUE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.056,0.0461,0.0099,0,0.1
9334620785970230005773,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324092763529,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,0.73,1.609,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0046,0.0031,0.0015,0,0
TBA324058283903,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,2.368,5.22,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0148,0.01,0.0047,0,0
TBA324089064501,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,1.566,3.452,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0098,0.0066,0.0031,0,0
TBA324070658047,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,2.24,4.938,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.014,0.0095,0.0045,0,0
TBA324077529580,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.48,3.263,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0092,0.0063,0.003,0,0
TBA324047625289,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,0.64,1.411,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0072,0.0059,0.0013,0,0
TBA324112808315,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,5.552,12.241,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0346,0.0235,0.0111,0,0.1
4720003452173,custom item,unsupported,No credentials configured for carrier: custom item,,,,,,,,,,,,,,,,,,,,
22479300110965200065151332,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324115543232,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,2.22,4.894,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0139,0.0094,0.0044,0,0
9534611987515245559051,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
Unknown,FedEx,success,,FedEx SmartPost,SMART_POST,1.27,2.8,FALSE,NEW HYDE PARK,NY,US,WORCESTER,MA,US,231.47,143.83,truck_average,0.127,0.0399,0.0373,0.0025,0,0.1
TBA324112681442,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,2.24,4.938,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.014,0.0095,0.0045,0,0
TBA324039190478,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,2.08,4.586,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.013,0.0088,0.0042,0,0
1LSCZTS005E0CDE,lasership,unsupported,Carrier 'lasership' not supported (no public tracking API),,,,,,,,,,,,,,,,,,,,
TBA324116288772,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,0.55,1.213,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0034,0.0023,0.0011,0,0
TBA324076605894,Amazon,success,,Amazon Same-Day Delivery,AMAZON_SAME_DAY,1.208,2.662,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,last_mile,0.2,0.0081,0.0081,0,0,0
1Z01777F0327960469,UPS,success,,UPS Ground,518,0.136,0.3,FALSE,ELLICOTT CITY,MD,US,WORCESTER,MA,US,538.67,334.72,truck_average,0.127,0.0096,0.0093,0.0003,0,0
TBA324065848963,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,0.61,1.345,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0038,0.0026,0.0012,0,0
